# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
#
# Current-tree extraction dispositions at a5486894c45140259d822625e74d1ccdfce807ee.
# rows=334 nonblank_lines=102508 dispositions=move:131,split:136,keep:67,delete:0
# workstreams=standard:281,portable:39,broker:14
# Portable Hermes and the tool broker are recorded for completeness but remain outside the managed Hermes package commitment.
# Every path resolves at the audit revision; no nonexistent or upstream-removed path appears in this file.
runtime	workstream	surface	disposition	nonblank_lines	path	current_owner	target_owner	target	phase	validation	notes
hermes	broker	test	keep	14	src/lib/onboard/hermes-managed-tools.test.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/onboard/hermes-managed-tools.test.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	test	keep	39	test/helpers/hermes-tool-gateway-broker-fixture.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:test/helpers/hermes-tool-gateway-broker-fixture.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	test	keep	1407	test/hermes-tool-gateway-broker.test.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:test/hermes-tool-gateway-broker.test.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	test	keep	93	test/hermes-tool-gateway-runtime-credentials.test.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:test/hermes-tool-gateway-runtime-credentials.test.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	portable	production	keep	117	src/lib/actions/uninstall/hermes-portable-uninstall-transaction.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/actions/uninstall/hermes-portable-uninstall-transaction.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	593	src/lib/actions/uninstall/hermes-portable-uninstall.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/actions/uninstall/hermes-portable-uninstall.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	40	src/lib/adapters/openshell/hermes-portable-uninstall.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/adapters/openshell/hermes-portable-uninstall.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	426	src/lib/onboard/experimental/hermes-portable-build-context-files.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-build-context-files.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	1340	src/lib/onboard/experimental/hermes-portable-build-context.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-build-context.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	458	src/lib/onboard/experimental/hermes-portable-container.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-container.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	379	src/lib/onboard/experimental/hermes-portable-contract.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-contract.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	700	src/lib/onboard/experimental/hermes-portable-lifecycle.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-lifecycle.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	352	src/lib/onboard/experimental/hermes-portable-ollama-authority.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-ollama-authority.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	997	src/lib/onboard/experimental/hermes-portable-ollama-gateway-transaction.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-ollama-gateway-transaction.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	362	src/lib/onboard/experimental/hermes-portable-ollama-inference.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-ollama-inference.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	1298	src/lib/onboard/experimental/hermes-portable-onboarding.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-onboarding.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	230	src/lib/onboard/experimental/hermes-portable-podman-authority.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-podman-authority.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	163	src/lib/onboard/experimental/hermes-portable-policy-authority.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-policy-authority.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	1609	src/lib/onboard/experimental/hermes-portable-receipt.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-receipt.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	234	src/lib/state/hermes-portable-uninstall/authority.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/state/hermes-portable-uninstall/authority.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	production	keep	457	src/lib/state/hermes-portable-uninstall/journal.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/state/hermes-portable-uninstall/journal.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	308	src/lib/actions/uninstall/hermes-portable-uninstall-transaction.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/actions/uninstall/hermes-portable-uninstall-transaction.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	317	src/lib/actions/uninstall/hermes-portable-uninstall.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/actions/uninstall/hermes-portable-uninstall.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	65	src/lib/actions/uninstall/portable-runtime-cleanup-schema5.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/actions/uninstall/portable-runtime-cleanup-schema5.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	50	src/lib/adapters/openshell/hermes-portable-uninstall.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/adapters/openshell/hermes-portable-uninstall.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	343	src/lib/onboard/experimental/hermes-portable-build-context.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-build-context.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	409	src/lib/onboard/experimental/hermes-portable-container.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-container.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	218	src/lib/onboard/experimental/hermes-portable-contract.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-contract.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	710	src/lib/onboard/experimental/hermes-portable-lifecycle.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-lifecycle.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	989	src/lib/onboard/experimental/hermes-portable-ollama-inference.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-ollama-inference.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	770	src/lib/onboard/experimental/hermes-portable-onboarding.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-onboarding.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	260	src/lib/onboard/experimental/hermes-portable-podman-authority.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-podman-authority.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	202	src/lib/onboard/experimental/hermes-portable-policy-authority.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-policy-authority.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	1057	src/lib/onboard/experimental/hermes-portable-receipt.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/experimental/hermes-portable-receipt.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	46	src/lib/onboard/hermes-portable-dockerfile-settings.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/hermes-portable-dockerfile-settings.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	40	src/lib/onboard/machine/handlers/sandbox-hermes-portable-endpoint-source.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/machine/handlers/sandbox-hermes-portable-endpoint-source.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	203	src/lib/onboard/sandbox-gpu-create-flow-hermes-portable.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/onboard/sandbox-gpu-create-flow-hermes-portable.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	36	src/lib/state/hermes-portable-uninstall/authority.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:src/lib/state/hermes-portable-uninstall/authority.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	101	test/e2e/support/portable-profile-cgroup-cleanup-workflow.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:test/e2e/support/portable-profile-cgroup-cleanup-workflow.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	269	test/helpers/hermes-portable-ollama-test-harness.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:test/helpers/hermes-portable-ollama-test-harness.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	414	test/helpers/hermes-portable-onboarding-fixture.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:test/helpers/hermes-portable-onboarding-fixture.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	610	test/helpers/hermes-portable-uninstall-fixture.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:test/helpers/hermes-portable-uninstall-fixture.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	portable	test	keep	338	test/install-hermes-portable-active.test.ts	nemoclaw-core-portable-hermes	nemoclaw-core-portable-hermes	core portable lifecycle:test/install-hermes-portable-active.test.ts	deferred	portable Hermes deterministic and live E2E regression gates	Portable Hermes is a separate compute and lifecycle workstream; it does not move into the managed Hermes package and needs a separate accepted decision.
hermes	standard	production	keep	28	src/lib/actions/uninstall/hermes-forward-watcher-cleanup.ts	nemoclaw-core	nemoclaw-core	core:src/lib/actions/uninstall/hermes-forward-watcher-cleanup.ts	deferred	portable uninstall transaction, authority, journal, and exact cleanup tests	Core retains portable uninstall authority, journal ordering, OpenShell executable authority, rollback, and cleanup; managed Hermes receives none of this surface.
hermes	standard	production	keep	157	src/lib/adapters/openshell/hermes-forward-watcher.ts	nemoclaw-core	nemoclaw-core	core:src/lib/adapters/openshell/hermes-forward-watcher.ts	deferred	portable uninstall transaction, authority, journal, and exact cleanup tests	Core retains portable uninstall authority, journal ordering, OpenShell executable authority, rollback, and cleanup; managed Hermes receives none of this surface.
hermes	standard	production	keep	61	src/lib/messaging/channels/discord/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/discord/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	18	src/lib/messaging/channels/discord/provider-profile/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/discord/provider-profile/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	39	src/lib/messaging/channels/googlechat/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/googlechat/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	54	src/lib/messaging/channels/googlechat/provider-profile/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/googlechat/provider-profile/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	53	src/lib/messaging/channels/slack/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/slack/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	84	src/lib/messaging/channels/teams/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/teams/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	21	src/lib/messaging/channels/telegram/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/telegram/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	27	src/lib/messaging/channels/wechat/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/wechat/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	keep	69	src/lib/messaging/channels/whatsapp/policy/hermes.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/whatsapp/policy/hermes.yaml	5	deterministic Hermes messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted Hermes-native configuration only.
hermes	standard	production	move	29	agents/hermes/build-mcp-digest.py	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/build-mcp-digest.py	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	157	agents/hermes/config/build-env.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/build-env.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	51	agents/hermes/config/generate.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/generate.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	32	agents/hermes/config/hermes-env.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/hermes-env.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	319	agents/hermes/config/managed-policy.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/managed-policy.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	222	agents/hermes/config/model-specific-setup.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/model-specific-setup.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	5	agents/hermes/config/object-record.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/object-record.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	35	agents/hermes/config/upstream-header.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/upstream-header.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	36	agents/hermes/config/write-config.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/write-config.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	57	agents/hermes/config/yaml.ts	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/config/yaml.ts	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
hermes	standard	production	move	838	agents/hermes/cron-restore-control.py	managed-hermes-runtime	nemoclaw-hermes-package	packages/nemoclaw-hermes/runtime/cron-restore-control.py	5	nemoclaw-hermes clean-pack, package tests, image conformance, and hermes-e2e	Whole file contains managed Hermes native implementation, declarative runtime data, or its detailed test.
